,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
32,6.0,5.0,6.0,7.0,8.0,9.0,999.0,11.0,999.0,4.0,5.0,999.0,999.0,8.0,9.0,10.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,999.0,999.0,4.0,5.0,999.0,999.0,8.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,1.0,2.0,3.0,999.0,999.0,6.0,7.0,999.0,2.0,999.0,4.0,5.0,6.0,7.0,8.0,9.0
33,7.0,6.0,7.0,8.0,9.0,8.0,999.0,10.0,999.0,5.0,6.0,999.0,999.0,7.0,8.0,9.0,3.0,4.0,5.0,4.0,5.0,6.0,7.0,8.0,2.0,999.0,999.0,3.0,4.0,999.0,999.0,7.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,2.0,1.0,2.0,999.0,999.0,5.0,6.0,999.0,3.0,999.0,3.0,4.0,5.0,6.0,7.0,8.0
34,8.0,7.0,6.0,7.0,8.0,7.0,999.0,9.0,999.0,6.0,5.0,999.0,999.0,6.0,7.0,8.0,4.0,5.0,4.0,3.0,4.0,5.0,6.0,7.0,3.0,999.0,999.0,2.0,3.0,999.0,999.0,6.0,2.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,3.0,2.0,1.0,999.0,999.0,4.0,5.0,999.0,4.0,999.0,2.0,3.0,4.0,5.0,6.0,7.0
35,7.0,6.0,5.0,6.0,7.0,6.0,999.0,8.0,999.0,5.0,4.0,999.0,999.0,5.0,6.0,7.0,5.0,4.0,3.0,2.0,3.0,4.0,5.0,6.0,4.0,999.0,999.0,1.0,2.0,999.0,999.0,5.0,3.0,2.0,1.0,0.0,1.0,2.0,3.0,4.0,4.0,3.0,2.0,999.0,999.0,3.0,4.0,999.0,5.0,999.0,3.0,4.0,5.0,4.0,5.0,6.0
36,8.0,7.0,6.0,7.0,6.0,5.0,999.0,7.0,999.0,6.0,5.0,999.0,999.0,4.0,5.0,6.0,6.0,5.0,4.0,3.0,2.0,3.0,4.0,5.0,5.0,999.0,999.0,2.0,1.0,999.0,999.0,4.0,4.0,3.0,2.0,1.0,0.0,1.0,2.0,3.0,5.0,4.0,3.0,999.0,999.0,2.0,3.0,999.0,6.0,999.0,4.0,5.0,4.0,3.0,4.0,5.0
37,9.0,8.0,7.0,8.0,7.0,6.0,999.0,6.0,999.0,7.0,6.0,999.0,999.0,5.0,6.0,5.0,7.0,6.0,5.0,4.0,3.0,4.0,5.0,4.0,6.0,999.0,999.0,3.0,2.0,999.0,999.0,3.0,5.0,4.0,3.0,2.0,1.0,0.0,1.0,2.0,6.0,5.0,4.0,999.0,999.0,1.0,2.0,999.0,7.0,999.0,5.0,4.0,3.0,2.0,3.0,4.0
38,10.0,9.0,8.0,9.0,8.0,7.0,999.0,5.0,999.0,8.0,7.0,999.0,999.0,6.0,5.0,4.0,8.0,7.0,6.0,5.0,4.0,5.0,4.0,3.0,7.0,999.0,999.0,4.0,3.0,999.0,999.0,2.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,1.0,7.0,6.0,5.0,999.0,999.0,2.0,1.0,999.0,8.0,999.0,6.0,5.0,4.0,3.0,2.0,3.0
39,11.0,10.0,9.0,8.0,7.0,6.0,999.0,4.0,999.0,9.0,8.0,999.0,999.0,5.0,4.0,3.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,8.0,999.0,999.0,5.0,4.0,999.0,999.0,1.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,8.0,7.0,6.0,999.0,999.0,3.0,2.0,999.0,9.0,999.0,7.0,6.0,5.0,4.0,3.0,4.0
40,7.0,6.0,7.0,8.0,9.0,10.0,999.0,12.0,999.0,5.0,6.0,999.0,999.0,9.0,10.0,11.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,2.0,999.0,999.0,5.0,6.0,999.0,999.0,9.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,1.0,2.0,999.0,999.0,7.0,8.0,999.0,1.0,999.0,3.0,4.0,5.0,6.0,7.0,8.0
41,8.0,7.0,8.0,9.0,10.0,9.0,999.0,11.0,999.0,6.0,7.0,999.0,999.0,8.0,9.0,10.0,4.0,5.0,6.0,5.0,6.0,7.0,8.0,9.0,3.0,999.0,999.0,4.0,5.0,999.0,999.0,8.0,2.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,1.0,0.0,1.0,999.0,999.0,6.0,7.0,999.0,2.0,999.0,2.0,3.0,4.0,5.0,6.0,7.0
42,9.0,8.0,7.0,8.0,9.0,8.0,999.0,10.0,999.0,7.0,6.0,999.0,999.0,7.0,8.0,9.0,5.0,6.0,5.0,4.0,5.0,6.0,7.0,8.0,4.0,999.0,999.0,3.0,4.0,999.0,999.0,7.0,3.0,2.0,1.0,2.0,3.0,4.0,5.0,6.0,2.0,1.0,0.0,999.0,999.0,5.0,6.0,999.0,3.0,999.0,1.0,2.0,3.0,4.0,5.0,6.0
43,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
44,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
45,10.0,9.0,8.0,9.0,8.0,7.0,999.0,7.0,999.0,8.0,7.0,999.0,999.0,6.0,7.0,6.0,8.0,7.0,6.0,5.0,4.0,5.0,6.0,5.0,7.0,999.0,999.0,4.0,3.0,999.0,999.0,4.0,6.0,5.0,4.0,3.0,2.0,1.0,2.0,3.0,7.0,6.0,5.0,999.0,999.0,0.0,1.0,999.0,8.0,999.0,4.0,3.0,2.0,1.0,2.0,3.0
46,11.0,10.0,9.0,10.0,9.0,8.0,999.0,6.0,999.0,9.0,8.0,999.0,999.0,7.0,6.0,5.0,9.0,8.0,7.0,6.0,5.0,6.0,5.0,4.0,8.0,999.0,999.0,5.0,4.0,999.0,999.0,3.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,2.0,8.0,7.0,6.0,999.0,999.0,1.0,0.0,999.0,9.0,999.0,5.0,4.0,3.0,2.0,1.0,2.0
47,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
48,8.0,7.0,8.0,9.0,10.0,11.0,999.0,13.0,999.0,6.0,7.0,999.0,999.0,10.0,11.0,12.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,3.0,999.0,999.0,6.0,7.0,999.0,999.0,10.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,2.0,3.0,999.0,999.0,8.0,9.0,999.0,0.0,999.0,4.0,5.0,6.0,7.0,8.0,9.0
49,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
50,10.0,9.0,8.0,9.0,10.0,9.0,999.0,11.0,999.0,8.0,7.0,999.0,999.0,8.0,9.0,10.0,6.0,7.0,6.0,5.0,6.0,7.0,8.0,9.0,5.0,999.0,999.0,4.0,5.0,999.0,999.0,8.0,4.0,3.0,2.0,3.0,4.0,5.0,6.0,7.0,3.0,2.0,1.0,999.0,999.0,4.0,5.0,999.0,4.0,999.0,0.0,1.0,2.0,3.0,4.0,5.0
51,11.0,10.0,9.0,10.0,11.0,10.0,999.0,10.0,999.0,9.0,8.0,999.0,999.0,9.0,10.0,9.0,7.0,8.0,7.0,6.0,7.0,8.0,9.0,8.0,6.0,999.0,999.0,5.0,6.0,999.0,999.0,7.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,6.0,4.0,3.0,2.0,999.0,999.0,3.0,4.0,999.0,5.0,999.0,1.0,0.0,1.0,2.0,3.0,4.0
52,12.0,11.0,10.0,11.0,10.0,9.0,999.0,9.0,999.0,10.0,9.0,999.0,999.0,8.0,9.0,8.0,8.0,9.0,8.0,7.0,6.0,7.0,8.0,7.0,7.0,999.0,999.0,6.0,5.0,999.0,999.0,6.0,6.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,3.0,999.0,999.0,2.0,3.0,999.0,6.0,999.0,2.0,1.0,0.0,1.0,2.0,3.0
53,11.0,10.0,9.0,10.0,9.0,8.0,999.0,8.0,999.0,9.0,8.0,999.0,999.0,7.0,8.0,7.0,9.0,8.0,7.0,6.0,5.0,6.0,7.0,6.0,8.0,999.0,999.0,5.0,4.0,999.0,999.0,5.0,7.0,6.0,5.0,4.0,3.0,2.0,3.0,4.0,6.0,5.0,4.0,999.0,999.0,1.0,2.0,999.0,7.0,999.0,3.0,2.0,1.0,0.0,1.0,2.0
54,12.0,11.0,10.0,11.0,10.0,9.0,999.0,7.0,999.0,10.0,9.0,999.0,999.0,8.0,7.0,6.0,10.0,9.0,8.0,7.0,6.0,7.0,6.0,5.0,9.0,999.0,999.0,6.0,5.0,999.0,999.0,4.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,3.0,7.0,6.0,5.0,999.0,999.0,2.0,1.0,999.0,8.0,999.0,4.0,3.0,2.0,1.0,0.0,1.0
55,13.0,12.0,11.0,12.0,11.0,10.0,999.0,8.0,999.0,11.0,10.0,999.0,999.0,9.0,8.0,7.0,11.0,10.0,9.0,8.0,7.0,8.0,7.0,6.0,10.0,999.0,999.0,7.0,6.0,999.0,999.0,5.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,4.0,8.0,7.0,6.0,999.0,999.0,3.0,2.0,999.0,9.0,999.0,5.0,4.0,3.0,2.0,1.0,0.0
